"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-1428517","The citric acid (TCA) cycle and respiratory electron transport","67/1620","131/8755",1.91360188694393e-17,2.30780387565437e-14,2.17143456223742e-14,"Me2/Suclg1/Ndufaf5/Pdk2/Ndufaf6/Vdac1/Ndufb2/Ndufb8/Ndufv2/Ucp2/Ndufc1/Ndufab1/Ndufb11/Me3/Ndufs2/Slc16a3/Tmem126b/Idh3a/Atp5g3/Me1/Sdhb/Ndufs7/Ndufs6/Aco2/Ndufb6/Atp5e/Ndufa3/Coq10a/Pdk1/Ndufa9/Mdh2/Fahd1/Idh3g/Pdhx/Ndufs3/Ndufb10/Ecsit/Ndufaf1/Pdk3/Adhfe1/Ndufa6/Ndufv1/Atp5a1/L2hgdh/Pdpr/Sucla2/Ndufa8/Idh2/Ndufaf4/Ndufs5/Etfa/Ndufc2/Suclg2/Ndufa5/Atp5g1/Ndufs1/Pdha1/Dlat/Dld/Sdha/Pdp1/Pdk4/Slc16a1/Fh1/Cs/Atp5h/Glo1",67
"R-MMU-71406","Pyruvate metabolism and Citric Acid (TCA) cycle","32/1620","49/8755",6.65589656120851e-13,4.01350562640873e-10,3.77634552262251e-10,"Me2/Suclg1/Pdk2/Vdac1/Me3/Slc16a3/Idh3a/Me1/Sdhb/Aco2/Pdk1/Mdh2/Fahd1/Idh3g/Pdhx/Pdk3/Adhfe1/L2hgdh/Pdpr/Sucla2/Idh2/Suclg2/Pdha1/Dlat/Dld/Sdha/Pdp1/Pdk4/Slc16a1/Fh1/Cs/Glo1",32
"R-MMU-71403","Citric acid cycle (TCA cycle)","15/1620","18/8755",4.483145646396e-09,1.80222454985119e-06,1.69573017782979e-06,"Me2/Suclg1/Me3/Idh3a/Sdhb/Aco2/Mdh2/Fahd1/Idh3g/Sucla2/Idh2/Suclg2/Sdha/Fh1/Cs",15
"R-MMU-611105","Respiratory electron transport","29/1620","59/8755",8.19213226488906e-08,2.46992787786405e-05,2.32397857409221e-05,"Ndufaf5/Ndufaf6/Ndufb2/Ndufb8/Ndufv2/Ndufc1/Ndufab1/Ndufb11/Ndufs2/Tmem126b/Ndufs7/Ndufs6/Ndufb6/Ndufa3/Coq10a/Ndufa9/Ndufs3/Ndufb10/Ecsit/Ndufaf1/Ndufa6/Ndufv1/Ndufa8/Ndufaf4/Ndufs5/Etfa/Ndufc2/Ndufa5/Ndufs1",29
"R-MMU-6799198","Complex I biogenesis","27/1620","54/8755",1.46123555140592e-07,3.52450014999109e-05,3.3162356303486e-05,"Ndufaf5/Ndufaf6/Ndufb2/Ndufb8/Ndufv2/Ndufc1/Ndufab1/Ndufb11/Ndufs2/Tmem126b/Ndufs7/Ndufs6/Ndufb6/Ndufa3/Ndufa9/Ndufs3/Ndufb10/Ecsit/Ndufaf1/Ndufa6/Ndufv1/Ndufa8/Ndufaf4/Ndufs5/Ndufc2/Ndufa5/Ndufs1",27
"R-MMU-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","35/1620","82/8755",3.25767617073205e-07,6.54792910317142e-05,6.16100861763008e-05,"Ndufaf5/Ndufaf6/Ndufb2/Ndufb8/Ndufv2/Ucp2/Ndufc1/Ndufab1/Ndufb11/Ndufs2/Tmem126b/Atp5g3/Ndufs7/Ndufs6/Ndufb6/Atp5e/Ndufa3/Coq10a/Ndufa9/Ndufs3/Ndufb10/Ecsit/Ndufaf1/Ndufa6/Ndufv1/Atp5a1/Ndufa8/Ndufaf4/Ndufs5/Etfa/Ndufc2/Ndufa5/Atp5g1/Ndufs1/Atp5h",35
"R-MMU-390522","Striated Muscle Contraction","19/1620","33/8755",6.2287083819635e-07,0.0001073117472664,0.000100970641139198,"Myh8/Myh3/Neb/Tnnt2/Tnni1/Tnnc1/Myl2/Tnnt1/Tmod4/Tpm3/Myh6/Tnni2/Tnnc2/Tpm1/Actn2/Tnnt3/Mybpc2/Vim/Myl3",19
"R-MMU-8978868","Fatty acid metabolism","55/1620","168/8755",5.89968286374037e-06,0.000889377191708861,0.00083682343777791,"Tecrl/Cyp1b1/Acot13/Acot6/Nudt19/Prkab2/Pon2/Phyh/Elovl1/Ndufab1/Ggt5/Pecr/Cyp2u1/Gpx1/Pcca/Echs1/Hacd3/Ptges2/Acsl6/Alox12/Mcee/Acad11/Acadvl/Acsf2/Prkaa2/Crot/Mmut/Cyp1a1/Pon3/Ptges/Alox5ap/Cyp2j6/Acot9/Cbr4/Ephx2/Eci1/Pccb/Acadm/Crat/Pla2g4a/Cpt1a/Hacd2/Decr2/Hadh/Acaa2/Cpt2/Slc25a17/Hpgds/Acot11/Ppt2/Hsd17b12/Dpep1/Slc25a20/Acacb/Elovl3",55
"R-MMU-70221","Glycogen breakdown (glycogenolysis)","10/1620","13/8755",7.6010712235901e-06,0.00101854354396107,0.000958357284097092,"Phkg1/Agl/Calm3/Phkb/Phka1/Phka2/Gaa/Pygm/Calm2/Phkg2",10
"R-MMU-397014","Muscle contraction","56/1620","176/8755",1.26999134123688e-05,0.00127841868393001,0.00120287626889809,"Myh8/Myl12a/Myl6b/Myh3/Neb/Tnnt2/Casq2/Tnni1/Tnnc1/Scn4b/Myl2/Camk2a/Camk2d/Tnnt1/Scn3a/Ryr3/Atp2a2/Calm3/Tmod4/Tpm3/Camk2g/Kcne1l/Cacna2d4/Myh6/Scn2a/Scn7a/Nos1/Kcnj12/Atp1b2/Tln1/Tnni2/Tnnc2/Scn3b/Scn1b/Atp2b3/Kcnj11/Tpm1/Scn4a/Actn2/Calm2/Atp1a1/Sorbs1/Rangrf/Trdn/Camk2b/Mylpf/Atp2a1/Kcnk15/Slc8a3/Abcc9/Tnnt3/Cacna2d3/Mybpc2/Vim/Myl3/Sorbs3",56
