"","quad_ctrl_1","quad_ctrl_2","quad_ctrl_3","quad_ctrl_4","quad_ctrl_5","quad_ctrl_6","quad_KO_1","quad_KO_2","quad_KO_3","quad_KO_4","quad_KO_5","quad_KO_6","sol_ctrl_1","sol_ctrl_2","sol_ctrl_3","sol_ctrl_4","sol_ctrl_5","sol_ctrl_6","sol_KO_1","sol_KO_2","sol_KO_3","sol_KO_4","sol_KO_5","sol_KO_6"
"Ldlrap1",6.36024179230888,6.57685182234802,6.60793620292497,6.43057104460334,6.44302912337973,6.7186971498387,7.65670733165186,7.39184797875505,7.80681562472907,7.80016690270197,7.21973584224188,7.57143149813764,6.43466171793489,6.33471055323302,6.49121466725777,6.24343190539307,6.21777500375441,6.69110024307987,6.9657965597302,7.0076492361935,7.01180772813787,6.99077042172902,6.77740387641597,6.68554197143299
"Ahnak2",4.78293596720775,5.01340504832574,5.27258634162683,5.0038946344242,4.8056733871519,5.38911096991937,6.12491440095563,6.22765341941374,6.25123565606626,6.40823472787902,6.67962497858634,6.94379785433436,5.29314113766372,5.1670584177613,5.44696642303163,5.28718526997518,5.52799329874524,5.68027937971188,5.97186854526026,6.11725336899074,6.52781258264506,6.2651580824395,6.64242581281651,6.67342747270307
"Camta1",7.37651546304423,6.06263692844701,6.23515959290371,6.39148122334372,5.9835131704344,7.10946570167054,8.46274631280991,8.45691497988885,8.3668459378171,8.72896917020583,8.64649195039741,8.87196453974994,8.19384909814791,7.83635552187805,7.57451105321891,7.89886156429331,7.71171973193024,7.56221109218186,8.49833423261065,8.60865510477942,8.70565574649443,8.52999497123818,8.56271461125139,8.72891007930048
"Mir568",7.45511254732081,6.59537034057777,6.85425405299068,5.76675903848825,5.80542582143227,7.2808085621805,7.45933725866688,7.3638098854302,7.17889605948557,7.27623184750172,7.39837778785762,7.16777119319691,7.86350904648919,8.67896756701275,8.31259001419778,8.55675054377204,8.48820489773476,7.59577700298776,8.15336597064726,8.35210150669724,8.38221705235842,8.32942418369007,8.00290604546327,7.6622149566477
"Snord22",9.19721940890274,9.70925107148448,10.161053790569,10.5221422736266,9.45405066383423,8.94723847053208,8.58137990441683,8.23571901662958,8.38503169377937,8.3726658488195,8.28742771908694,8.16580937242103,7.10452115443798,7.62014563530714,6.29199502187411,7.3029949065689,6.98721733789009,7.33622703571466,7.70929483697888,7.04120309970747,7.63908771335116,8.02784085015942,6.90092844446624,6.9745829045032
"Snord104",11.1642564785521,11.2529784575588,10.8389321025394,11.4969572837574,11.2534063214956,9.90522141999328,11.2336589836227,10.870265428558,11.0275998209682,11.1834050185143,11.0641222604271,10.5491934624278,9.66071988857728,9.19590869418139,9.06386875679186,9.02614244365027,8.87032424083112,8.74403393166863,9.63948784059347,9.40363256941214,9.44760950213297,9.48855793955055,9.47612967788152,9.11575840626264
"Snora44",8.45601174275678,8.51539431454869,8.96164293442061,10.233038017476,8.84624105873123,7.86871532619777,7.76146498482344,7.56582764183064,7.86151515023965,7.6078949106421,7.66444125057701,6.89875885087333,6.99853994488,7.37693353793151,6.56921818899661,7.01435360176845,6.16718882679709,7.19579507338546,7.16745398982114,6.48382328402632,7.0176665880346,7.1626444788711,6.21645212964431,6.32298878334859
"Snora52",8.14659845669116,8.89126050365257,9.13355584223944,10.1020431586597,9.02630847773075,8.31355223913372,8.31708151941934,8.364967412198,8.52303261181724,8.32982329050814,8.52487934246065,8.27556366898142,7.08018727601165,7.37289891941058,7.26228133592484,7.32729848209897,6.83107952961158,7.88876547959056,7.51134924858626,7.54890614940039,7.35943771406655,7.54443105890091,7.03722979197687,7.38052916179374
"Snord38a",4.96497053583427,5.56236393499003,4.84602150699288,6.46244510792841,5.9483695648251,4.38098053761806,5.08092916266524,4.4985093439254,4.36713171285962,5.02424708860605,5.04943480012185,4.66807124584186,3.16875315215139,3.32384923225085,3.19845127614722,3.72790634373201,2.93000133649096,3.42256971687689,3.64899128838272,3.38429222163073,3.68261092934022,4.03445280330028,3.31280144403642,3.34609217899294
"Snord49b",9.77603590018721,10.1659486447219,10.4656914344989,10.375189045475,9.79039618886521,9.43969988106166,9.55085911000907,9.08830368211321,9.72048801691468,9.41841350081352,9.60040911815423,9.70019641730779,8.77877531146516,7.91545895678709,8.0089128568016,8.15488189669008,7.59437951551727,9.01668488942649,9.02557616806525,9.32500546019013,8.69786737135026,8.90554160631535,8.92024974290185,9.08118286042114
