"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","10344624","Lypla1","18777","lysophospholipase 1",-0.411448595233708,8.82868212803618,-5.15412886253034,2.47155820900728e-05,9.2401333042194e-05,2.01347145720017
"2","10344637","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",0.47428328796467,6.60763573542876,3.61297628847253,0.00132205420671889,0.00296207820278544,-1.91518203529709
"3","10344707","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.506901658797663,8.63279842917757,-4.17971067320253,0.000309643427326136,0.00083002095065195,-0.494863236297147
"4","10344723","Rrs1","59014","ribosome biogenesis regulator 1",-0.0871222982065882,5.36492776457807,-0.495036835171815,0.624878414559694,0.678611275020228,-7.22663002263965
"5","10344725","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",-0.854112211162115,7.17923720912857,-4.74816076092616,7.0839466063534e-05,0.000230075893833424,0.964580698967128
"6","10344750","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-0.115392712305684,6.04125145977054,-0.83201639076787,0.41324301735013,0.480319322135213,-6.9993198567402
"7","10344803","Cspp1","211660","centrosome and spindle pole associated protein 1",0.189394227642385,4.9054032586476,1.18869189718555,0.24568207742306,0.3082105033548,-6.64116081631129
"8","10344837","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.178444597207191,7.3940528228341,1.16548169270501,0.254776606190843,0.317657374663779,-6.66796928761643
"9","10344897","Sulf1","240725","sulfatase 1",1.01372540387388,7.39775501942321,8.81581354576124,3.68594980607767e-09,5.72280341451265e-08,10.8901714112876
"10","10344960","Tmem70","70397","transmembrane protein 70",-0.413000543831144,8.6408577013839,-4.6346370276102,9.51442415088335e-05,0.000296712109422818,0.671693227075424
"11","10344966","Ly96","17087","lymphocyte antigen 96",0.877483059462452,6.38500272283001,3.70597956634944,0.00104433579060468,0.00240894720985914,-1.68580801260742
"12","10344973","Gdap1","14545","ganglioside-induced differentiation-associated-protein 1",-1.47358435743253,4.03573730102653,-9.31444475508316,1.26479533230405e-09,2.43233556898017e-08,11.9715510363821
"13","10344981","Pi15","94227","peptidase inhibitor 15",0.547070317412271,5.21245414074303,3.13253055124138,0.00436755807690315,0.00854492961712421,-3.06695416175498
"14","10344990","Crispld1","83691","cysteine-rich secretory protein LCCL domain containing 1",0.794713489419712,6.38949557557931,4.22875117609808,0.000272755418751026,0.00074211107234671,-0.369905237471275
"15","10345028","Mir206","387202","microRNA 206",0.175814834877869,2.06827694949978,1.37690543647711,0.18069482231958,0.234338654509105,-6.40662795232242
"16","10345037","Paqr8","74229","progestin and adipoQ receptor family member VIII",1.28232685581188,6.25848235035753,7.26198937839361,1.27516691832608e-07,1.07720839340125e-06,7.30844248442632
"17","10345065","Gsta3","14859","glutathione S-transferase, alpha 3",0.411224931064118,4.78097070282181,2.63839604580522,0.0141003735004963,0.0244159605259276,-4.17304121630511
"18","10345074","Cetn4","207175","centrin 4",0.329057429082105,3.36195080464834,3.01805853063692,0.00576462948105415,0.0109861200733153,-3.33137014204219
"19","10345387","Prss39","21755","protease, serine 39",-0.145091864504724,3.79726018249106,-1.10030371966606,0.281637043869896,0.346048226458728,-6.74070431400633
"20","10345401","Amer3","211383","APC membrane recruitment 3",-0.265660783257558,3.87308078901681,-2.16359568808636,0.0402093571840183,0.0620495156301705,-5.13101420054176
