"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","10344624","Lypla1","18777","lysophospholipase 1",-0.347059658502001,8.82868212803618,-4.34754237498134,0.000200504664012784,0.000794931219800211,0.132928671865599
"2","10344637","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.160202992288087,6.60763573542876,-1.22038795624256,0.233655622557745,0.322882306947651,-6.38440916089925
"3","10344707","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.785906759783348,8.63279842917757,-6.48027643034342,8.52422558402451e-07,9.1689604428162e-06,5.56484620691807
"4","10344723","Rrs1","59014","ribosome biogenesis regulator 1",-0.0980064080003249,5.36492776457807,-0.556881338552312,0.582538691192329,0.668372640719424,-6.97256063304637
"5","10344725","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",-1.06217608979962,7.17923720912857,-5.90482464115394,3.60670213676508e-06,2.96778391383409e-05,4.12199808066675
"6","10344750","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-0.718298272110191,6.04125145977054,-5.17914800609537,2.31668809587522e-05,0.000132303998456226,2.26815858435745
"7","10344803","Cspp1","211660","centrosome and spindle pole associated protein 1",0.0882979899981535,4.9054032586476,0.554183232272318,0.584355950046525,0.670154768101695,-6.97409053075415
"8","10344837","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-0.56776103726707,7.3940528228341,-3.7082383278753,0.00103835703252729,0.00320665368256755,-1.47505666443665
"9","10344897","Sulf1","240725","sulfatase 1",0.618291877076468,7.39775501942321,5.37694516121945,1.39050671384768e-05,8.79153497659364e-05,2.77599429927487
"10","10344960","Tmem70","70397","transmembrane protein 70",-0.597057055599427,8.6408577013839,-6.70009465800699,4.95947683635155e-07,5.8420565888995e-06,6.10733980823718
"11","10344966","Ly96","17087","lymphocyte antigen 96",0.0203625835334673,6.38500272283001,0.0859997440171011,0.932148729409551,0.952849334384808,-7.12797673178328
